h,Sign_Accuracy,Count
119,0.5875542691751086,691.0
120,0.591304347826087,690.0
121,0.5652173913043478,690.0
122,0.5333333333333333,690.0
123,0.5869565217391305,690.0
124,0.590711175616836,689.0
125,0.5645863570391872,689.0
126,0.5341074020319303,689.0
127,0.5878084179970973,689.0
128,0.5901162790697675,688.0
129,0.563953488372093,688.0
130,0.5334302325581395,688.0
131,0.5872093023255814,688.0
132,0.5895196506550219,687.0
133,0.5647743813682679,687.0
134,0.5327510917030568,687.0
135,0.586608442503639,687.0
136,0.5903790087463557,686.0
137,0.565597667638484,686.0
138,0.532069970845481,686.0
139,0.5860058309037901,686.0
140,0.5897810218978102,685.0
141,0.564963503649635,685.0
142,0.5313868613138686,685.0
143,0.5854014598540146,685.0
144,0.5891812865497076,684.0
145,0.564327485380117,684.0
146,0.5307017543859649,684.0
147,0.5847953216374269,684.0
148,0.5885797950219619,683.0
149,0.5636896046852123,683.0
150,0.5300146412884333,683.0
151,0.5841874084919473,683.0
152,0.5879765395894428,682.0
153,0.5630498533724341,682.0
154,0.5293255131964809,682.0
155,0.5835777126099707,682.0
156,0.5873715124816447,681.0
157,0.5624082232011748,681.0
158,0.5286343612334802,681.0
159,0.5844346549192364,681.0
160,0.586764705882353,680.0
161,0.5617647058823529,680.0
162,0.5279411764705882,680.0
163,0.5838235294117647,680.0
164,0.5861561119293078,679.0
165,0.561119293078056,679.0
166,0.5272459499263623,679.0
167,0.5832106038291606,679.0
168,0.5870206489675516,678.0
169,0.56047197640118,678.0
170,0.528023598820059,678.0
171,0.5825958702064897,678.0
172,0.5864106351550961,677.0
173,0.5598227474150664,677.0
174,0.5273264401772526,677.0
175,0.5819793205317577,677.0
176,0.5857988165680473,676.0
177,0.5606508875739645,676.0
178,0.5281065088757396,676.0
179,0.5813609467455622,676.0
180,0.5851851851851851,675.0
181,0.56,675.0
182,0.5274074074074074,675.0
183,0.5822222222222222,675.0
184,0.586053412462908,674.0
185,0.5593471810089021,674.0
186,0.5281899109792285,674.0
187,0.5816023738872403,674.0
188,0.5854383358098069,673.0
189,0.5586924219910847,673.0
190,0.5289747399702823,673.0
191,0.5809806835066865,673.0
192,0.5863095238095238,672.0
