run_time,target_time,lead_hours,forecast_type,actual_MWh,forecast_MWh,delta_MWh,da_price,revenue_EUR,applied_price_EUR_per_MWh,penalty_EUR,net_revenue_EUR,forecast_file
2025-10-15 11:00:00+00:00,2025-10-16 12:00:00+00:00,25.0,deterministic,3.6092800000000005,4.230195216722294,-0.6209152167222931,76.96,277.7701888,177.39,-110.14415029436756,167.62603850563247,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 12:15:00+00:00,25.25,deterministic,3.7618899999999997,4.0770251650600215,-0.3151351650600218,79.25,298.1297825,231.08,-72.82143394206985,225.30834855793012,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 12:30:00+00:00,25.5,deterministic,3.603285,3.9112203258343703,-0.3079353258343702,81.56,293.8839246,252.8,-77.8460503709288,216.0378742290712,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 12:45:00+00:00,25.75,deterministic,3.6189225,3.875334907989234,-0.25641240798923404,94.15,340.72155337500004,198.62,-50.92863247482167,289.7929209001784,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 13:00:00+00:00,26.0,deterministic,3.28566,3.7127276892352015,-0.42706768923520144,72.1,236.896086,122.22,-52.19621297832632,184.69987302167368,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 13:15:00+00:00,26.25,deterministic,3.6790175,3.730703203227845,-0.051685703227844826,82.42,303.22462235,94.02,-4.85948981748197,298.36513253251803,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 13:30:00+00:00,26.5,deterministic,2.3042975,3.585578760059817,-1.2812812600598167,85.09,196.07267427500003,136.6,-175.02302012417096,21.04965415082907,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 13:45:00+00:00,26.75,deterministic,1.6426075,3.273207104233232,-1.630599604233232,92.5,151.94119375,142.11,-231.72450975758463,-79.78331600758463,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 14:00:00+00:00,27.0,deterministic,1.3703725,2.9773493024107274,-1.6069768024107274,68.12,93.34977470000001,162.61,-261.3104978400084,-167.96072314000838,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 14:15:00+00:00,27.25,deterministic,1.3541575000000001,2.576794185598092,-1.222636685598092,79.48,107.62843810000001,227.52,-278.1742987072779,-170.5458606072779,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 14:30:00+00:00,27.5,deterministic,1.3118325,2.147293229223554,-0.8354607292235539,92.41,121.226441325,145.68,-121.70991903328733,-0.4834777082873387,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 14:45:00+00:00,27.75,deterministic,0.91463,1.7392912822053113,-0.8246612822053112,116.1,106.188543,140.28,-115.68348466776106,-9.494941667761069,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 15:00:00+00:00,28.0,deterministic,0.57265,1.3579335018266772,-0.7852835018266772,78.4,44.89576,113.32,-88.98832642699905,-44.09256642699905,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 15:15:00+00:00,28.25,deterministic,0.40423250000000005,0.9445087404885442,-0.5402762404885442,116.06,46.915223950000005,154.88,-83.67798412686572,-36.76276017686572,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 15:30:00+00:00,28.5,deterministic,0.2145575,0.596402011750542,-0.38184451175054196,132.51,28.431014325,181.96,-69.48042735812862,-41.04941303312862,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 15:45:00+00:00,28.75,deterministic,0.031545000000000004,0.2335399315783306,-0.2019949315783306,156.69,4.9427860500000005,166.61,-33.65437555026566,-28.71158950026566,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 16:00:00+00:00,29.0,deterministic,0.002595,0.0459953056521538,-0.0434003056521538,109.6,0.284412,187.31,-8.129311251704928,-7.844899251704929,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 16:15:00+00:00,29.25,deterministic,0.0,6.078807770144575e-06,-6.078807770144575e-06,128.7,0.0,195.62,-0.0011891363759956818,-0.0011891363759956818,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 16:30:00+00:00,29.5,deterministic,0.0,0.0,0.0,135.91,0.0,207.53,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 16:45:00+00:00,29.75,deterministic,0.0,0.0,0.0,145.79,0.0,199.57,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 17:00:00+00:00,30.0,deterministic,0.0,0.0,0.0,137.23,0.0,137.05,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 17:15:00+00:00,30.25,deterministic,0.0,0.0,0.0,144.29,0.0,129.77,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 17:30:00+00:00,30.5,deterministic,0.0,0.0,0.0,144.65,0.0,124.14,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 17:45:00+00:00,30.75,deterministic,0.0,0.0,0.0,136.19,0.0,89.59,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 18:00:00+00:00,31.0,deterministic,0.0,0.0,0.0,145.04,0.0,177.28,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 18:15:00+00:00,31.25,deterministic,0.0,0.0,0.0,123.38,0.0,166.58,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 18:30:00+00:00,31.5,deterministic,0.0,0.0,0.0,128.0,0.0,109.35,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 18:45:00+00:00,31.75,deterministic,0.0,0.0,0.0,105.96,0.0,134.25,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 19:00:00+00:00,32.0,deterministic,0.0,0.0,0.0,124.53,0.0,177.72,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 19:15:00+00:00,32.25,deterministic,0.0,0.0,0.0,106.18,0.0,202.47,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 19:30:00+00:00,32.5,deterministic,0.0,0.0,0.0,90.47,0.0,82.16,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 19:45:00+00:00,32.75,deterministic,0.0,0.0,0.0,87.75,0.0,80.24,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 20:00:00+00:00,33.0,deterministic,0.0,0.0,0.0,96.5,0.0,112.53,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 20:15:00+00:00,33.25,deterministic,0.0,0.0,0.0,100.23,0.0,156.4,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 20:30:00+00:00,33.5,deterministic,0.0,0.0,0.0,105.99,0.0,141.19,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 20:45:00+00:00,33.75,deterministic,0.0,0.0,0.0,96.7,0.0,125.09,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 21:00:00+00:00,34.0,deterministic,0.0,0.0,0.0,100.87,0.0,71.67,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 21:15:00+00:00,34.25,deterministic,0.0,0.0,0.0,95.47,0.0,72.87,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 21:30:00+00:00,34.5,deterministic,0.0,0.0,0.0,93.2,0.0,130.97,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 21:45:00+00:00,34.75,deterministic,0.0,0.0,0.0,83.91,0.0,117.11,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 22:00:00+00:00,35.0,deterministic,0.0,0.0,0.0,91.4,0.0,105.77,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 22:15:00+00:00,35.25,deterministic,0.0,0.0,0.0,88.11,0.0,87.08,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 22:30:00+00:00,35.5,deterministic,0.0,0.0,0.0,87.24,0.0,71.66,0.0,0.0,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 22:45:00+00:00,35.75,deterministic,0.0,0.0,0.0,85.84,0.0,80.49,0.0,0.0,forecast_202510151100.csv
