measure_date,Imbalance Volume
2024-01-10 01:15:00+00:00,-73.59
2024-01-10 02:15:00+00:00,-75.31
2024-01-10 02:30:00+00:00,-64.38
2024-01-10 03:15:00+00:00,-87.15
2024-01-10 03:30:00+00:00,-133.38
2024-01-10 04:30:00+00:00,-146.07
2024-01-10 06:00:00+00:00,-58.23
2024-01-10 07:15:00+00:00,-132.11
2024-01-10 07:30:00+00:00,-144.04
2024-01-10 08:15:00+00:00,-142.62
2024-01-10 08:30:00+00:00,-85.34
2024-01-10 10:00:00+00:00,-58.65
2024-01-10 11:30:00+00:00,-53.11
2024-01-10 12:45:00+00:00,-70.85
2024-01-10 19:00:00+00:00,-74.19
2024-01-10 21:45:00+00:00,-116.68
2024-01-10 22:00:00+00:00,-173.89
2024-01-10 22:30:00+00:00,-148.33
2024-01-10 22:45:00+00:00,-159.86
2024-01-10 23:00:00+00:00,-184.03
2024-01-10 23:15:00+00:00,-164.54
2024-01-11 00:00:00+00:00,-156.9
2024-01-11 00:15:00+00:00,-129.75
2024-01-11 00:30:00+00:00,-127.65
2024-01-11 01:00:00+00:00,-162.03
2024-01-11 01:15:00+00:00,-125.61
2024-01-11 01:30:00+00:00,-114.83
2024-01-11 02:00:00+00:00,-125.69
2024-01-11 02:30:00+00:00,-150.67
2024-01-11 02:45:00+00:00,-158.62
2024-01-11 03:15:00+00:00,-133.31
2024-01-11 04:30:00+00:00,-149.4
2024-01-11 04:45:00+00:00,-168.93
2024-01-11 05:30:00+00:00,-134.66
2024-01-11 06:15:00+00:00,-27.26
2024-01-11 08:45:00+00:00,-115.23
2024-01-11 09:45:00+00:00,120.38
2024-01-11 13:15:00+00:00,-27.29
2024-01-11 13:45:00+00:00,-120.71
2024-01-11 16:00:00+00:00,-118.02
2024-01-11 16:15:00+00:00,-126.79
2024-01-11 17:00:00+00:00,-81.62
2024-01-11 17:15:00+00:00,-88.5
2024-01-11 18:15:00+00:00,-93.15
2024-01-11 19:00:00+00:00,-55.87
2024-01-11 19:30:00+00:00,-100.29
2024-01-11 20:00:00+00:00,-89.24
2024-01-11 20:15:00+00:00,-108.23
2024-01-11 20:45:00+00:00,-103.79
2024-01-11 21:00:00+00:00,-134.76
2024-01-11 21:15:00+00:00,-121.44
2024-01-11 21:45:00+00:00,-57.23
2024-01-11 22:00:00+00:00,-328.81
2024-01-11 22:15:00+00:00,-356.52
2024-01-11 22:30:00+00:00,-304.34
2024-01-11 22:45:00+00:00,-209.47
2024-01-11 23:00:00+00:00,-128.37
2024-01-12 01:00:00+00:00,-157.06
2024-01-12 01:30:00+00:00,-101.72
2024-01-12 02:00:00+00:00,-88.17
2024-01-12 02:30:00+00:00,-83.62
2024-01-12 03:15:00+00:00,-73.25
2024-01-12 06:00:00+00:00,-133.76
2024-01-12 06:15:00+00:00,-107.87
2024-01-12 09:30:00+00:00,-83.33
2024-01-12 13:45:00+00:00,-124.47
2024-01-12 14:30:00+00:00,-118.58
2024-01-12 16:30:00+00:00,-38.64
2024-01-12 17:15:00+00:00,-67.37
2024-01-12 18:00:00+00:00,-114.67
2024-01-12 20:00:00+00:00,-70.92
2024-01-12 20:15:00+00:00,-151.2
2024-01-12 20:30:00+00:00,-125.56
2024-01-12 20:45:00+00:00,-114.5
2024-01-12 21:30:00+00:00,-124.83
2024-01-12 22:30:00+00:00,-60.35
2024-01-12 22:45:00+00:00,-104.05
2024-01-12 23:30:00+00:00,-184.41
2024-01-13 00:15:00+00:00,-102.44
2024-01-13 00:30:00+00:00,-188.09
2024-01-13 00:45:00+00:00,-256.94
2024-01-13 01:00:00+00:00,-158.86
2024-01-13 01:15:00+00:00,-118.6
2024-01-13 01:30:00+00:00,-129.95
2024-01-13 02:00:00+00:00,-90.85
